Survey Category,Question ID,Domain Covered,Question,Guide Explanation,Answer Format,Survey Answer Options Style,Survey Answer Options Definitions,Answer Guide
Technology Infrastructure & End User Devices,ID_01,Network Connectivity Hardware,"What is the ratio of deployed Wi-Fi access points to your venue's maximum seating capacity?","Wi-Fi access point density is the single most important infrastructure metric. It determines whether mobile ordering, cashless payment, venue apps, and staff devices function reliably at full capacity. Higher AP density supports multi-device-per-fan environments and enables the mobile commerce layer that drives 16–25% per-cap spending increases. This metric will vary significantly across venues and correlates directly to mobile ordering adoption, app reliability, and POS uptime.",5-option single select,Drop down,"A: Fewer than 1 AP per 150 seats | B: 1 AP per 100–150 seats | C: 1 AP per 50–99 seats | D: 1 AP per 25–49 seats | E: 1 AP per 24 or fewer seats (high-density deployment)","Score A=1 through E=5. To calculate: divide total deployed APs by maximum seated capacity. Include all fan-facing APs (bowl, concourse, clubs, suites). Exclude back-of-house-only APs. If exact AP count is unknown, consult your network vendor or Extreme Networks deployment records. Venues scoring A or B likely experience connectivity complaints and lower mobile ordering adoption. Target benchmark for modern venues is D or E."
Technology Services,TS_02,Point of Sale & Commerce Platforms,"Is a mobile ordering platform (app or mobile web) available for fans to order food and beverage for pickup or in-seat delivery, and what percentage of concession locations does it cover?","Mobile ordering is the highest-ROI commerce software in the stadium technology stack. Documented data shows mobile orders average 22% higher order size than counter orders, and 80% of mobile orders include alcohol — the highest-margin concession item. Sporting KC reported 10% of total stadium revenue comes through mobile ordering alone.",5-option single select,Drop down,"A: No mobile ordering platform is available to fans | B: Mobile ordering available at fewer than 25% of concession locations | C: Mobile ordering available at 25–50% of concession locations | D: Mobile ordering available at more than 50% of concession locations including some premium areas | E: Mobile ordering available venue-wide across general concessions, premium, and retail — with in-seat delivery options in select sections","Score A=1 through E=5. Count the percentage of distinct concession and retail locations available through the mobile ordering platform. If mobile ordering exists but only for 2 out of 30 stands, that is option B. In-seat delivery requires both the platform capability and a fulfillment operation — select E only if both are in place."
Technology Services,TS_03,Fan Engagement & Mobile App Platforms,"How many of the following features does your venue's official mobile app support: mobile tickets, wayfinding/maps, mobile ordering, live game stats/video, push notifications, loyalty/rewards, parking, and AR experiences?","The venue mobile app is the central nervous system connecting all fan-facing technology services. App feature breadth determines how much of the fan journey — from parking to departure — the venue can influence, monetize, and measure digitally. Each feature represents a touchpoint where the venue can reduce friction, drive spending, or collect behavioral data.",5-option single select,Drop down,"A: App supports 1–2 features (e.g., mobile tickets only) | B: App supports 3–4 features | C: App supports 5–6 features | D: App supports 7 features | E: App supports all 8 listed features or more","Score A=1 through E=5. Count only features that are live and functional in the current version of the venue's official mobile app. The 8 reference features are: (1) mobile tickets, (2) wayfinding/maps, (3) mobile ordering, (4) live game stats or video, (5) push notifications, (6) loyalty/rewards, (7) parking integration, (8) AR experiences. If additional features beyond the 8 are present, count those toward the total."
Technology Services,TS_04,Ticketing & Access Management,"Does your ticketing operation use a dynamic pricing engine that adjusts single-game ticket prices based on demand signals (opponent, weather, sales velocity, team performance)?","Dynamic ticket pricing produces 5–20% single-game ticket revenue lifts in documented deployments. The San Francisco Giants generated an additional $7 million in their first year with dynamic pricing — a model NFL teams have widely adopted. This question captures whether a dynamic pricing software engine is in use and how broadly it is applied.",5-option single select,Drop down,"A: No dynamic pricing — prices are set at the start of the season and remain fixed | B: Manual price adjustments made periodically based on sales performance | C: Dynamic pricing engine in use for select game tiers or price levels | D: Dynamic pricing engine applied across all single-game inventory with automated adjustments | E: Dynamic pricing applied across all inventory including premium and partial plans, with real-time adjustment and integration into secondary market pricing","Score A=1 through E=5. 'Dynamic pricing engine' means a software system (e.g., Digonex, Qcue, Event Dynamic) that automatically adjusts prices based on algorithmic analysis of demand signals — not manual repricing decisions made by humans. If your team manually lowers prices on slow-selling games, that is B, not C."
Technology Services,TS_05,Sponsorship & Advertising Platforms,"What is the capability of the software platform managing content across your digital signage network?","The signage CMS is what unlocks the revenue value of your Layer 1 digital signage hardware investment. A venue can have 800 digital displays, but if content is loaded via USB drives, those screens generate no more sponsorship value than static posters. Dynamic CMS with real-time triggers, programmatic insertion, and impression reporting transforms signage from a cost center into a revenue-multiplying sponsorship platform.",5-option single select,Drop down,"A: No centralized CMS — content is loaded manually per display (USB, local files) | B: Centralized CMS with scheduled playlists; same content across all displays | C: Centralized CMS with zone-based targeting (different content for concourse vs. suites vs. gates) | D: CMS with zone-based and time-based targeting; supports real-time manual content swaps and rule-triggered sponsor activations | E: Dynamic CMS integrated with game-state feeds, POS data, and sponsor activation platforms — enabling automated, context-aware content delivery with programmatic ad insertion and impression reporting","Score A=1 through E=5. Answer based on the software platform managing your digital signage network, not the hardware. 'Rule-triggered activations' means the CMS can automatically change content based on predefined events (e.g., a scoring play triggers a sponsor celebration graphic). Venues scoring A or B are undermonetizing their display hardware investment."
Technology Services,TS_06,CRM & Fan Data Platforms,"How is your fan/customer relationship management (CRM) system used in relation to game-day and venue operations?","CRM maturity determines whether the venue can identify who its fans are, what they spend, how often they return, and what drives their loyalty. Teams with mature CRM systems integrated across ticketing, POS, and digital engagement report higher season ticket renewal rates and higher per-fan lifetime value. CRM is also the foundation for data-backed sponsorship proposals.",5-option single select,Drop down,"A: No CRM platform in use, or CRM is used only for season ticket sales tracking | B: CRM tracks ticket purchases and basic contact information; no integration with other venue systems | C: CRM integrates ticketing and some POS data; supports segmented email campaigns | D: CRM integrates ticketing, POS, and app engagement data; supports multi-channel campaigns and fan scoring | E: CRM serves as a unified fan profile hub integrating ticketing, POS, app, loyalty, Wi-Fi, and engagement data — supporting lifecycle campaigns, predictive fan scoring, and personalized outreach","Score A=1 through E=5. Answer based on the CRM platform's current integration state and active use, not its theoretical capability. If your CRM platform could integrate with POS but that integration has not been configured, answer based on what is live today. Venues scoring A or B lack the fan intelligence foundation needed for personalized engagement and premium sponsorship packaging."
Technology Services,TS_07,Venue & Event Operations,"Does your venue use a centralized event operations platform that provides a single dashboard view of game-day status across departments (security, guest services, facilities, concessions, parking)?","Unified event operations platforms reduce incident response times, improve cross-department coordination, and prevent small issues from escalating into fan-impacting disruptions. Without a centralized platform, game-day operations depend on radio traffic and verbal communication — which creates information gaps, slows decision-making, and makes post-event analysis nearly impossible.",5-option single select,Drop down,"A: No centralized platform — each department uses its own tools or paper-based processes | B: Shared communication channel (e.g., group radio, shared chat) but no unified status dashboard | C: Centralized platform exists but is used by 1–2 departments only (e.g., security and ops) | D: Centralized platform used by most departments with shared status views and task tracking | E: Fully integrated operations platform across all departments with real-time status, automated alerts, task dispatch, and post-event analytics","Score A=1 through E=5. 'Centralized platform' means a software application (e.g., 24/7 Software, Momentus, IntelliEvent) providing a shared operational view — not a shared radio channel or group text. Venues scoring A or B have limited ability to correlate operational events with fan experience outcomes in post-event analysis."
Technology Services,TS_08,Venue & Event Operations,"Does your venue use workforce management software to forecast, schedule, and manage game-day staff (ushers, security, concession workers, guest services)?","Staffing is the single largest variable game-day cost for most NFL venues. AI-powered workforce management platforms reduce staffing costs by 10–20% through precise demand forecasting based on ticket sales velocity, weather, event profile, and historical patterns.",5-option single select,Drop down,"A: Staffing is managed manually (spreadsheets, phone calls, paper schedules) | B: Basic scheduling software in use but no demand-based forecasting | C: Scheduling software with historical-based staffing templates per event type | D: Workforce management platform with demand forecasting based on ticket sales velocity, weather, and event profile | E: Integrated workforce platform with predictive staffing models, real-time check-in/deployment tracking, and post-event labor efficiency analytics","Score A=1 through E=5. 'Workforce management software' includes platforms like NICE WFM, Aspect, Nowsta, ABI, or similar tools that go beyond basic scheduling into demand forecasting and labor optimization. If your venue uses a simple scheduling tool without forecasting, that is B. Venues scoring A or B are likely overstaffing low-demand games and understaffing high-demand games."
Technology Services,TS_09,Ticketing & Access Management,"Is your primary ticketing platform integrated with secondary market resale so that all ticket transactions — primary and secondary — flow through a single system of record?","Unified ticketing data is the foundation for accurate attendance analytics, fan identity tracking, and dynamic pricing effectiveness. When primary and secondary markets operate on disconnected platforms, the venue loses visibility into who actually attends, cannot tie ticket purchasers to in-venue spending behavior, and has blind spots in pricing algorithm inputs.",5-option single select,Drop down,"A: Primary and secondary ticketing operate on completely separate platforms with no data sharing | B: Separate platforms, but some manual data reconciliation occurs post-event | C: Primary platform receives secondary market transaction data via feed or API, but with delays | D: Primary and secondary markets operate on integrated platforms with near-real-time data sync | E: Fully unified platform where primary sales, secondary resale, and transfer all occur within one system with real-time visibility","Score A=1 through E=5. 'Single system of record' means one platform captures the final ticket holder identity regardless of whether the ticket was purchased primary, resold, or transferred. Venues scoring A or B cannot accurately measure who their attendees are or connect ticket holder identity to in-venue behavior."
Technology Services,TS_10,Fan Engagement & Mobile App Platforms,"Does your venue operate a digital loyalty or rewards program that incentivizes fan engagement (attendance, spending, app usage, early arrival) with points, tiers, or unlockable experiences?","Loyalty programs are one of the most undertapped revenue opportunities in the NFL. Cross-sport benchmarks demonstrate significant impact: the Sacramento Kings' gamified Royalty Pass drives repeat engagement, Fanatics ONE connects spending across merchandise, collectibles, and betting, and the Red Sox reward non-purchase behaviors like early arrival which increases pre-game concession spending.",5-option single select,Drop down,"A: No loyalty or rewards program exists | B: Basic program exists (e.g., email-based offers or season ticket holder perks) but no digital points/tiers | C: Digital loyalty program with points earned from purchases; redeemable for merchandise or concessions | D: Digital loyalty program with points earned from purchases and engagement (attendance, app usage, early arrival); multiple redemption categories | E: Gamified loyalty ecosystem with points, tiers, challenges, and exclusive experience unlocks — integrated with ticketing, POS, and the mobile app","Score A=1 through E=5. 'Digital loyalty program' means a software-based system where fans earn and redeem points or progress through tiers — not ad hoc promotional offers or season ticket holder appreciation events. If fans earn points only from purchases, that is C. Select D or E only if non-purchase behaviors also earn points."
Digital Infrastructure,DI_01,Data Integration & APIs,"How are your venue's technology systems (ticketing, POS, CRM, app, signage, operations) connected to share data with each other?","System integration architecture is the single most important Digital Infrastructure question. It determines whether data can flow between systems to enable unified analytics, personalized experiences, and real-time operational decisions. A venue with best-in-class hardware and software but manual CSV exports between systems cannot produce cross-domain insights.",5-option single select,Drop down,"A: Systems are not connected — data transfer is manual (exports, re-entry, email) | B: Point-to-point integrations between a few key systems (e.g., ticketing to CRM) built as one-off projects | C: Multiple point-to-point integrations across several systems; managed individually without a centralized integration layer | D: Integration middleware or iPaaS (e.g., MuleSoft, Boomi, Workato) connecting most major systems through a centralized layer | E: Enterprise integration platform connecting all major systems with standardized APIs, event-driven data flows, centralized monitoring, and documented integration patterns for onboarding new systems","Score A=1 through E=5. Count the number of system-to-system integrations currently active and how they are managed. 'Point-to-point' means direct connections built between two specific systems without middleware. Venues scoring A or B will struggle to produce any cross-system analytics and will face escalating integration costs as new technology services are added."
Digital Infrastructure,DI_02,Identity & Access Management,"Does your digital infrastructure support a unified fan identity — a single identifier that connects a fan's ticket, app account, POS transactions, Wi-Fi session, and loyalty profile across systems?","Unified fan identity is the data prerequisite for per-fan revenue measurement, personalized experiences, and cross-channel engagement. Without it, the same fan appears as different people in different systems. This determines whether the scorecard can ever produce a true per-fan revenue metric.",5-option single select,Drop down,"A: No unified fan identity — fans are identified differently in each system (ticket ID, app login, payment card, etc.) | B: Partial identity linkage between 2 systems (e.g., ticket ID matches app login) but no broader resolution | C: Identity resolution links 3–4 systems using email or account ID as a common key, with some manual matching | D: Automated identity resolution across most major systems with a centralized fan profile; minor gaps in non-authenticated touchpoints (e.g., cash transactions, guest Wi-Fi) | E: Fully automated identity graph linking all authenticated and most non-authenticated touchpoints into a single fan profile — enabling complete fan journey analytics and personalized cross-channel experiences","Score A=1 through E=5. 'Unified fan identity' means a single identifier or identity graph that resolves a fan across systems — not just sharing an email address field. Select D only if identity resolution is automated. Venues scoring A or B cannot answer: 'How much does each fan spend across their entire game-day journey?'"
Digital Infrastructure,DI_03,Analytics & Reporting,"Can you currently produce reports or dashboards that correlate data across systems — for example, linking a ticket purchaser's identity to their in-venue POS spending, app usage, and entry time?","Cross-system data correlation is the ultimate analytical capability this scorecard is designed to measure and improve. It transforms isolated data streams into fan journey insights that connect technology investment to business outcomes.",5-option single select,Drop down,"A: No ability to correlate data across systems — each system reports independently | B: Some manual correlation is possible (e.g., matching ticket buyer emails to POS exports) but labor-intensive | C: Automated correlation exists between 2 systems (e.g., ticketing + CRM) but not broader | D: Automated correlation across 3–4 systems with a shared fan identifier enabling multi-domain reporting | E: Unified fan data model linking ticketing, POS, app, loyalty, Wi-Fi, and engagement data — enabling full fan journey analytics from acquisition through game-day behavior to retention","Score A=1 through E=5. This measures analytical output capability, not tools. If you have a BI platform but it only reports from one data source at a time, that is A or B. Select E only if you can trace a fan from ticket purchase through gate entry, concession spending, app engagement, and post-event follow-up in a single analytical view."
Digital Infrastructure,DI_04,Analytics & Reporting,"Does your venue have a BI or analytics platform (e.g., Tableau, Power BI, Looker) that produces recurring game-day and season performance reports from your venue data?","A BI platform transforms raw data into actionable insight. Without one, per-cap spending trends, gate throughput metrics, and technology ROI calculations exist only in disconnected spreadsheets or not at all. The NFL's Tableau dashboard being built through this engagement will require clubs to have some analytics infrastructure to consume and act on the insights.",5-option single select,Drop down,"A: No BI platform — reporting is done in spreadsheets on an ad hoc basis | B: BI platform exists but is used by a single department (e.g., ticket sales only) | C: BI platform in use across 2–3 departments with recurring game-day reports | D: BI platform used broadly with dashboards covering ticketing, concessions, operations, and fan engagement; refreshed after each event | E: Enterprise BI platform with real-time and post-event dashboards spanning all major data domains; self-service access for multiple departments; integrated with data warehouse","Score A=1 through E=5. If your venue uses Tableau but only the ticket sales team has access, that is B. If multiple departments have dashboards but they pull from separate data sources, that is C. Venues scoring A will have difficulty consuming the scorecard insights being developed through this engagement."
Digital Infrastructure,DI_05,Data Storage & Management,"How is your venue's fan and transactional data (ticket purchases, POS transactions, app interactions, Wi-Fi sessions) stored and organized?","Data storage architecture determines whether fan behavior data can be queried, analyzed, and correlated across systems. If ticketing data lives in the ticketing vendor's database and POS data lives in the concessionaire's system with no centralized repository, cross-system analysis is impossible regardless of BI tool quality.",5-option single select,Drop down,"A: Data remains in each application's native database — no centralized storage | B: Some data is exported periodically to a shared location (e.g., shared drive, spreadsheets) for manual analysis | C: A centralized data warehouse or data lake exists, receiving data from 2–3 key systems (e.g., ticketing + POS) | D: Centralized data warehouse/lake receiving data from most major systems with structured schemas and scheduled refresh | E: Modern data platform (warehouse + lake) ingesting data from all major systems in near-real-time with governed schemas, transformation pipelines, and self-service query access","Score A=1 through E=5. 'Centralized data warehouse or data lake' means a dedicated platform (e.g., Snowflake, BigQuery, Databricks, AWS Redshift) that receives and stores data from multiple source systems. If data is exported to Excel and manually combined, that is B. Venues scoring A or B will be unable to support the cross-system correlations needed for the scorecard dashboard."
Digital Infrastructure,DI_06,Data Integration & APIs,"Can your venue technology stack deliver real-time data (transactions, gate entries, app events, crowd counts) to operational dashboards or analytics platforms during a live event?","Real-time data availability separates venues that can make in-game operational decisions from those that can only analyze after the fact. When a concession stand runs out of product, when gate entry backs up, when a concourse is overcrowded — real-time data enables immediate response.",5-option single select,Drop down,"A: No real-time data available during events — all analysis is post-event | B: 1–2 data streams available in near-real-time (e.g., gate entry counts) but most data is batch/post-event | C: Several data streams (gate, POS, app) available in near-real-time but not consolidated in a single view | D: Most major data streams consolidated into a real-time operational dashboard accessible during events | E: Comprehensive real-time data platform ingesting all major streams (gate, POS, app, crowd, signage, parking) into unified dashboards with alerting, threshold triggers, and historical comparison","Score A=1 through E=5. 'Real-time' means data available within seconds to a few minutes. 'Near-real-time' means within 5–15 minutes. If multiple streams are available but in separate screens with no unified view, that is C. Venues scoring D or E have a significant operational advantage during live events."
